author_i,year,high_sim_count,avg_similarity,trend
1330,1989,1,.87316084,
1333,2015,1,.85094208,
1334,1986,1,.85453093,
1335,2004,1,.85271096,
1339,1998,1,.93478942,
1343,1998,1,.88777322,
1352,1989,1,.87749588,
1358,2000,1,.86636281,
1358,2004,1,.90889585,
1358,2011,1,.88549936,
1358,2013,1,.89186472,
1358,2018,1,.88580251,
1359,1990,1,.89804095,
1366,2001,1,.8800261,
1372,2022,1,.94285363,
1383,2015,1,.85094208,
1398,2020,1,.94477367,
1401,1975,1,.89670557,
1401,1976,1,.89454854,0
1407,1995,1,.88802022,
1409,2004,1,.86581254,
1417,2006,1,.86388499,
1452,1991,3,.90115625,
1463,2021,1,.95106214,
1480,2005,1,.85319543,
1497,1991,1,.91201282,
1516,2004,1,.88319504,
1518,1984,2,.89817232,
1522,2022,1,.8564527,
1525,1998,1,.85752422,
1555,2022,1,.94285363,
1556,1990,1,.86557984,
1558,2009,1,.86986935,
1562,1992,1,.86099732,
1564,2020,1,.90097558,
1565,2018,1,.89075714,
1569,1988,7,.90814006,
1569,1990,7,.88788116,
1570,1998,1,.85928571,
1576,1988,1,.9363848,
1582,1982,1,.91867304,
1585,1985,1,.8728677,
1590,1989,1,.85902894,
1591,1999,1,.92538846,
1595,1998,1,.85372508,
1613,1986,1,.86762655,
1617,2017,1,.88722205,
1622,1984,1,.88132071,
1640,2015,1,.87550324,
1641,2005,1,.85484111,
1676,2006,4,.87170845,
1678,2004,1,.91246676,
1681,2001,1,.90879506,
1683,2016,1,.89807522,
1685,2014,1,.9486441,
1701,1992,1,.88928968,
1703,2001,1,.91013283,
1709,1989,1,.93878549,
1715,1997,1,.94971699,
1743,1997,1,.92597294,
1744,1988,1,.86057568,
1744,1990,1,.88818812,
1764,1997,1,.8601588,
1772,2013,1,.9278931,
1772,2021,1,.88625628,
1774,2000,1,.8558144,
1778,1999,2,.88319176,
1790,1996,1,.88288778,
1812,1990,6,.86851871,
1813,2010,1,.90279555,
1813,2011,1,.88391191,0
1819,1998,1,.89628315,
1826,2003,1,.86636311,
1835,2006,1,.91406262,
1836,1997,1,.86967111,
1838,2004,1,.85289848,
1839,2017,2,.86310506,
1849,2021,1,.94012445,
1866,2019,1,.85044372,
1871,1993,1,.89831048,
1876,2020,1,.86369431,
1899,1991,1,.85853595,
1899,1994,1,.87324989,
1899,1995,2,.88398695,1
1913,1986,1,.86219555,
1920,1990,1,.86034906,
1928,1990,1,.86390698,
1931,2020,1,.89281738,
1935,1983,1,.85188431,
1936,1999,1,.85475409,
1952,1987,1,.85242581,
1955,1993,1,.8751111,
1960,1991,1,.86365968,
1961,1987,1,.92989749,
1961,1990,2,.90091133,
1963,1997,1,.9172498,
1971,1996,1,.86865163,
1971,1997,1,.8907764,0
1974,1998,1,.88838077,
2012,1998,1,.85752422,
2013,2000,1,.93655324,
2018,1987,1,.93207526,
2024,2002,1,.95503891,
2032,1998,1,.90649736,
2035,2000,1,.9091385,
2038,2014,1,.91614461,
2038,2021,1,.93419826,
2042,1996,1,.92605615,
2043,1999,1,.86638176,
2053,1983,1,.86342865,
2054,1986,1,.91062909,
2055,1993,4,.88623518,
2055,1994,2,.87401646,-2
2070,2001,1,.89162517,
2088,2013,1,.93443346,
2095,2002,1,.88771796,
2097,1998,1,.85752422,
2124,1986,4,.9172191,
2124,1987,1,.85841322,-3
2124,1988,1,.86367351,0
2128,2013,1,.93213987,
2139,2013,1,.86287606,
2148,1994,1,.87922895,
2150,1992,3,.86525857,
2151,2005,3,.86103231,
2160,2014,1,.90916681,
2163,1988,1,.8831594,
2163,1991,1,.88944304,
2165,1996,1,.89022684,
2173,2000,1,.86145091,
2174,1991,5,.8774333,
2176,2001,1,.86724925,
2180,1983,1,.88137734,
2182,2001,1,.85424721,
2186,1988,1,.85618079,
2200,2018,1,.91673279,
2204,1997,1,.92484713,
2222,2016,1,.88302004,
2222,2020,1,.85625446,
2245,2004,19,.88623619,
2247,2004,1,.85221159,
2249,2001,2,.86751598,
2265,1981,1,.9058305,
2265,1986,2,.90071827,
2265,1987,7,.88906139,5
2287,1989,1,.87013376,
2327,2018,1,.94584125,
2335,1980,16,.88703424,
2340,2015,1,.86643422,
2344,2014,1,.85663927,
2345,2019,1,.89015448,
2360,2013,1,.90060508,
2361,1994,1,.88054419,
2363,2019,1,.85949665,
2366,2017,1,.96207058,
2384,2012,1,.90146983,
2386,2008,1,.8794378,
2387,1995,1,.91658282,
2387,1996,2,.87871861,1
2387,2005,1,.92061692,
2387,2006,1,.86268067,0
2389,2011,1,.85488075,
2392,2016,1,.87280715,
2396,2000,1,.89803326,
2396,2002,1,.92537498,
2402,2004,1,.86488593,
2418,2013,1,.86806595,
2418,2017,1,.89401585,
2418,2019,1,.9566465,
2419,2021,1,.94811708,
2438,2010,1,.85436344,
2455,2016,1,.89605224,
2456,2004,1,.87288892,
2456,2008,2,.89279592,
2456,2010,1,.87226635,
2456,2012,1,.86050355,
2456,2013,1,.87933517,0
2456,2014,1,.8575871,0
2456,2015,2,.87834907,1
2456,2018,2,.88936746,
2456,2019,1,.86843795,-1
2464,2021,1,.85872209,
2481,2008,1,.86931348,
2481,2010,1,.89659452,
2486,2010,1,.87187397,
2486,2013,1,.90024066,
2493,2021,1,.89557117,
2535,2011,1,.92375571,
2537,2013,1,.91291839,
2539,2010,1,.87374055,
2549,2017,1,.88932556,
2551,2005,1,.90273142,
2556,2009,2,.88221627,
2560,2017,1,.87852609,
2560,2018,2,.87609911,1
2560,2020,1,.85586149,
2562,2014,1,.89848858,
2562,2016,1,.86014968,
2564,1984,4,.88577574,
2564,1986,2,.8770656,
2564,1992,4,.88304472,
2564,1993,1,.87486494,-3
2564,1999,2,.85972774,
2564,2000,2,.91350794,0
2564,2001,1,.90614676,-1
2564,2009,1,.88874841,
2564,2014,1,.93289578,
2566,2018,1,.90734911,
2566,2021,1,.85817933,
2570,2014,1,.88359642,
2571,2012,1,.92154908,
2571,2020,1,.89327723,
2572,2005,1,.89939284,
2572,2007,1,.90451491,
2575,2019,1,.86210608,
2578,2013,3,.86080498,
2581,1998,2,.89591801,
2592,2013,1,.87185585,
2593,2013,1,.93084699,
2593,2015,2,.89847851,
2593,2018,3,.87050074,
2601,2009,1,.86801678,
2601,2016,1,.87357283,
2601,2018,1,.85605311,
2602,2003,2,.88909459,
2602,2004,1,.86149263,-1
2602,2007,1,.87803507,
2604,1992,1,.88217932,
2608,2009,3,.89790893,
2608,2010,1,.91105491,-2
2629,2004,1,.9358871,
2630,2017,1,.85771847,
2631,2009,1,.90062118,
2631,2019,1,.85540003,
2631,2020,1,.90381515,0
2637,1993,1,.86371446,
2637,1994,1,.86083281,0
2639,2015,1,.8914786,
2645,2013,1,.85767663,
2652,2005,1,.89400518,
2655,2014,1,.86809766,
2663,2003,1,.87022126,
2673,2004,1,.87377,
2673,2005,1,.85356718,0
2680,1989,1,.85390764,
2685,2011,1,.8733108,
2690,2004,1,.91995454,
2690,2005,2,.87564003,1
2690,2008,2,.87269098,
2690,2009,2,.86641514,0
2690,2015,1,.88835311,
2691,2006,4,.88905084,
2691,2008,2,.88776374,
2691,2014,1,.86928731,
2691,2020,1,.85138386,
2699,2016,1,.86816728,
2699,2017,1,.8673296,0
2701,2017,1,.8796736,
2701,2019,1,.85098267,
2702,2019,1,.887609,
2710,2005,5,.89599884,
2710,2008,8,.88208687,
2710,2010,2,.86537266,
2710,2011,1,.91655594,-1
2710,2017,1,.85295093,
2713,2018,1,.85597616,
2746,2004,4,.86888289,
2748,2010,1,.86157304,
2749,2020,1,.89037377,
2755,2012,1,.87383914,
2766,2016,1,.85664153,
2768,2011,1,.86896926,
2773,2016,1,.93992829,
2775,2009,1,.88500428,
2775,2012,1,.85134161,
2805,2018,1,.91303504,
2805,2019,1,.87619388,0
2807,2020,1,.87827754,
2819,1984,1,.86925328,
2829,1981,1,.9405266,
2832,2014,2,.87920654,
2840,2006,1,.86615413,
2860,2018,3,.89472085,
2866,2020,1,.90375769,
2894,2013,1,.90208745,
2901,2017,1,.94993842,
2911,2017,1,.85271883,
2929,1999,1,.86419964,
2932,2017,1,.91953921,
2939,2014,1,.85663927,
2940,1978,1,.85494721,
2940,1979,3,.89531064,2
2940,1980,47,.87771535,44
2940,1981,31,.87841886,-16
2940,1982,31,.87214243,0
2940,1983,5,.88386905,-26
2940,1984,1,.85536999,-4
2940,1985,5,.89607656,4
2940,1986,3,.87953365,-2
2940,1987,5,.87306887,2
2940,1988,3,.87525451,-2
2940,1989,4,.87918293,1
2940,1990,5,.8681215,1
2940,1991,15,.87621301,10
2940,1992,2,.86877477,-13
2940,1993,1,.86520058,-1
2940,1994,4,.90623832,3
2940,1997,3,.89743304,
2940,1999,1,.93796003,
2940,2000,2,.85821301,1
2940,2003,2,.88908899,
2940,2005,3,.88317627,
2940,2006,3,.91709834,0
2940,2009,3,.88960606,
2940,2010,3,.89577585,0
2940,2012,1,.8935796,
2940,2013,1,.89715976,0
2940,2014,1,.8675096,0
2940,2016,1,.85820472,
2940,2017,1,.88722205,0
2940,2018,1,.85204965,0
2941,2013,1,.90213919,
2944,1975,1,.91375977,
2944,1979,1,.89099497,
2944,1980,7,.88850981,6
2944,1981,1,.89397359,-6
2944,1982,1,.85020363,0
2944,1983,7,.87638479,6
2944,1984,2,.89635146,-5
2944,1985,1,.89288604,-1
2944,1986,1,.8523038,0
2944,1988,1,.8660472,
2944,1990,1,.8822543,
2944,2008,1,.91638982,
2952,2012,3,.8780815,
2953,1989,1,.90749276,
2953,1992,1,.94450045,
2953,2008,5,.87795365,
2959,1979,1,.85245609,
2959,1980,1,.85252786,0
2959,1983,27,.8881582,
2959,1985,9,.88291132,
2959,1988,10,.89546102,
2959,1990,8,.8657949,
2959,1991,1,.86271864,-7
2959,1994,6,.89554292,
2959,1997,2,.88086009,
2959,1998,2,.89699209,0
2959,1999,4,.87476122,2
2959,2000,2,.89237243,-2
2959,2002,1,.93893421,
2959,2003,14,.89287245,13
2959,2004,26,.89857447,12
2959,2007,1,.90112603,
2959,2009,13,.88770819,
2959,2010,2,.88098407,-11
2959,2011,1,.86525923,-1
2959,2012,1,.91792834,0
2959,2013,1,.8850019,0
2959,2014,3,.87592101,2
2959,2015,1,.85486364,-2
2959,2016,1,.8531599,0
2960,2004,1,.86800134,
2960,2008,1,.8840133,
2962,1987,1,.91407871,
2963,2007,1,.8852073,
2964,1986,2,.8909514,
2964,1988,1,.86906219,
2964,1989,5,.89209884,4
2964,1990,7,.87888229,2
2964,1991,3,.86373061,-4
2964,1992,1,.89903259,-2
2964,1993,1,.92214739,0
2964,1997,1,.87834293,
2964,1999,1,.85475409,
2964,2000,1,.86968344,0
2964,2004,1,.91857022,
2964,2005,1,.87492806,0
2964,2007,1,.87181377,
